"id";"altersgruppe";"fallzahl";"differenz";"inzidenz"
"1";" 0-4";"319";"2";"168.1"
"4";" 5-9";"352";"1";"205"
"7";" 10-14";"438";"4";"279.9"
"10";" 15-19";"497";"3";"331.7"
"13";" 20-24";"969";"18";"474.3"
"16";" 25-29";"1235";"14";"430.1"
"19";" 30-39";"2343";"22";"359.8"
"22";" 40-49";"1701";"5";"351.3"
"25";" 50-59";"1553";"5";"285.9"
"28";" 60-69";"754";"1";"189.6"
"31";" 70-79";"560";"3";"175.9"
"34";" 80-89";"473";"0";"256.4"
"37";" 90+";"148";"0";"474.9"
"40";" unbekannt";"4";"3";"0"
"43";" Summe";"11346";"81";"301"